asc,Casuarina Coast Asmat,Trans-New Guinea,Latn
ase,American Sign Language,sign,Sgnw
asf,Auslan,sign,Latn
asg,Cishingini,Kambari,Latn
ash,Abishira,isolate,Latn
asi,Buruwai,Trans-New Guinea,Latn
asj,Nsari,Eastern Beboid,Latn
ask,Ashkun,Southern Nuristani,"Arab, Latn"
asl,Asilulu,Central Maluku,Latn
asn,Xingú Asuriní,Tupi-Guarani,Latn
aso,Dano,Kainantu-Goroka,Latn
asp,Algerian Sign Language,sign,
asq,Austrian Sign Language,sign,Latn
asr,Asuri,Munda,Latn
ass,Ipulo,Central Tivoid,Latn
ast,Asturian,West Iberian,Latn
asu,Tocantins Asurini,Tupi-Guarani,Latn
asv,Asoa,Mangbetu,Latn
asw,Australian Aboriginal Sign Language,sign,Latn
asx,Muratayak,Finisterre,Latn
asy,Yaosakor Asmat,Trans-New Guinea,Latn
asz,As,Halmahera-Cenderawasih,Latn
ata,Pele-Ata,Papuan,Latn
atb,Zaiwa,Burmish,Latn
atc,Atsahuaca,Panoan,Latn
atd,Ata Manobo,Manobo,Latn
ate,Atemble,Madang,Latn
atg,Okpela,Yekhee,Latn
ati,Attié,Lagoon,Latn
atj,Atikamekw,Algonquian,Latn
atk,Ati,Philippine,Latn
atl,Mount Iraya Agta,Philippine,Latn
atm,Ata,Philippine,Latn
ato,Atong (Cameroon),Southwest Grassfields,Latn
atp,Pudtol Atta,Philippine,Latn
atq,Aralle-Tabulahan,South Sulawesi,Latn
atr,Waimiri-Atroari,Cariban,Latn
ats,Gros Ventre,Arapahoan,Latn
att,Pamplona Atta,Philippine,Latn
atu,Reel,Dinka-Nuer,Latn
atv,Northern Altai,Siberian Turkic,Cyrl
atw,Atsugewi,Palaihnihan,Latn
atx,Arutani,,Latn
aty,Aneityum,Oceanic,Latn
atz,Arta,Philippine,Latn
aua,Asumboa,Oceanic,Latn
aub,Alugu,Loloish,Latn
auc,Huaorani,isolate,Latn
aud,Anuta,Nuclear Polynesian,Latn
aug,Aguna,Gbe,Latn
auh,Aushi,Sabi,Latn
aui,Anuki,Western Oceanic,Latn
auj,Awjila,Berber,"Latn, Arab, Tfng"
auk,Heyo,Torricelli,Latn
aul,Aulua,North-Central Vanuatu,Latn
aum,Asu,Nupe-Gbagyi,Latn
aun,Molmo One,Torricelli,Latn
auo,Auyokawa,West Chadic,Latn
aup,Makayam,Trans-New Guinea,Latn
auq,Anus,Western Oceanic,Latn
aur,Aruek,Torricelli,Latn
aut,Austral,Eastern Polynesian,Latn
auu,Auye,Trans-New Guinea,Latn
auw,Awyi,Border,Latn
aux,Aurá,Tupi-Guarani,Latn
auy,Auyana,Kainantu-Goroka,Latn
auz,Uzbeki Arabic,Arabic,Arab
avb,Avau,Western Oceanic,Latn
avd,Alviri-Vidari,Median,fa-Arab
avi,Avikam,Lagoon,Latn
avk,Kotava,constructed,Latn
avm,Angkamuthi,Paman,Latn
avn,Avatime,Ka-Togo,Latn
avo,Agavotaguerra,Arawakan,Latn
avs,Aushiri,Zaparoan,Latn
avt,Au,Torricelli,Latn
avu,Avokaya,Moru-Madi,Latn
avv,Avá-Canoeiro,Tupi-Guarani,Latn
awa,Awadhi,Eastern Hindi,"Deva, Kthi, fa-Arab"
awb,Awa (New Guinea),Kainantu-Goroka,Latn
awc,Cicipu,Kambari,Latn
awe,Awetí,Tupian,Latn
